Date,Close,High,Low,Open,Volume,Target
2015-01-02,24.237550735473633,24.70532029541843,23.79860048379208,24.69423503534699,212818400,0
2015-01-05,23.554738998413086,24.0867993234754,23.368518814896508,24.006990190147395,257142000,1
2015-01-06,23.556957244873047,23.81633609193056,23.19559874156603,23.619030641634858,263188400,1
2015-01-07,23.887279510498047,23.98704009408535,23.654502560296518,23.765348404892794,160423600,1
2015-01-08,24.805086135864258,24.86272645599909,24.097889015796888,24.215387046826162,237458000,1
2015-01-09,24.831684112548828,25.106581306246863,24.432638435105563,24.977999733362566,214798000,0
2015-01-12,24.219818115234375,24.969135448943987,24.120057527235872,24.962484968593877,198603200,1
2015-01-13,24.43485450744629,25.00681938380781,24.144438980365567,24.70310120728101,268367600,0
2015-01-14,24.341745376586914,24.494711474568152,24.05354553692245,24.173259238412005,195826400,0
2015-01-15,23.68110466003418,24.39938521357673,23.645634871541997,24.38608425431382,240056000,0
2015-01-16,23.497098922729492,23.849589546937747,23.321962305734257,23.72765845555715,314053200,1
2015-01-20,24.10232162475586,24.157744549135312,23.610165785646576,23.907231848461198,199599600,1
2015-01-21,24.28632164001465,24.621074823456794,24.00255489901262,24.15330529304962,194303600,1
2015-01-22,24.91814613342285,24.933664483967743,24.324012340403172,24.4437260551952,215185600,1
2015-01-23,25.046724319458008,25.217426152284684,24.72527039983578,24.89597392403558,185859200,1
2015-01-26,25.07332992553711,25.35266192991213,25.006823433030068,25.215212472533512,222460000,0
2015-01-27,24.1954288482666,24.935879909246182,24.171042629136025,24.922577258846545,382274800,1
2015-01-28,25.563262939453125,26.186217609496115,25.563262939453125,26.077587486100576,585908400,1
2015-01-29,26.359142303466797,26.423433096590607,25.618691178673068,25.787177336812245,337745600,0
2015-01-30,25.97340202331543,26.603005679197125,25.90467644184349,26.248299275082537,334982000,1
2015-02-02,26.29927635192871,26.418990030058623,25.733963734027988,26.170696497379847,250956400,1
2015-02-03,26.303714752197266,26.401257928588027,26.07315523199289,26.27046066624386,207662800,1
2015-02-04,26.505460739135742,26.716068881898618,26.228346097111075,26.27046806393836,280598800,1
2015-02-05,26.69463348388672,26.7591779894096,26.541062015640957,26.71243751799283,168984800,0
2015-02-06,26.469844818115234,26.763632651229667,26.363012106960742,26.71244158799873,174826400,1
2015-02-09,26.645681381225586,26.672388294249973,26.358570179871148,26.385278790944433,155559200,1
2015-02-10,27.157575607299805,27.186510351861603,26.743603296210924,26.745827739601534,248034000,1
2015-02-11,27.794118881225586,27.803021749787224,27.264410937172286,27.32450317740265,294247200,1
2015-02-12,28.145776748657227,28.372795669606173,27.947692577307883,28.05674975412918,297898000,1
2015-02-13,28.283763885498047,28.328276526199947,27.96549358013913,28.328276526199947,217088800,1
2015-02-17,28.45069122314453,28.684386851565183,28.248154785440164,28.37501768994175,252609600,1
2015-02-18,28.64876937866211,28.66212282958764,28.366108881718322,28.4061709325431,179566800,0
2015-02-19,28.58867645263672,28.717765476256087,28.56196954985219,28.59535317833285,149449600,1
